run,rank_by_delta,pair,window_index,start_time,end_time,previous_corr,current_corr,delta,current_severity,reversal,current_reason,candidate_plain_message
aws_20_10,1,ec2_cpu <-> ec2_net,177,2014-04-16T03:59:00Z,2014-04-16T05:39:00Z,0.6958474626898151,-0.8069720571949327,1.5028195198847478,HIGH,True,"Correlation changed by 1.50, classified as HIGH severity",The relationship between ec2_cpu and ec2_net reversed during this period: it changed from tending to move together to tending to move in opposite directions.
aws_20_10,2,ec2_net <-> elb_req,212,2014-04-17T09:19:00Z,2014-04-17T10:54:00Z,0.3951593129468622,-0.3754639439974619,0.7706232569443241,HIGH,True,"Correlation changed by 0.77, classified as HIGH severity",The relationship between ec2_net and elb_req reversed during this period: it changed from tending to move together to tending to move in opposite directions.
aws_20_10,3,ec2_cpu <-> ec2_net,53,2014-04-11T20:24:00Z,2014-04-11T21:59:00Z,0.5563341742530137,-0.19189435206347932,0.748228526316493,HIGH,True,"Correlation changed by 0.75, classified as HIGH severity",The relationship between ec2_cpu and ec2_net reversed during this period: it changed from tending to move together to tending to move in opposite directions.
aws_20_10,4,ec2_cpu <-> ec2_net,172,2014-04-15T23:49:00Z,2014-04-16T01:24:00Z,0.38111839188604557,-0.3468189440229966,0.7279373359090422,HIGH,True,"Correlation changed by 0.73, classified as HIGH severity",The relationship between ec2_cpu and ec2_net reversed during this period: it changed from tending to move together to tending to move in opposite directions.
aws_20_10,5,ec2_net <-> elb_req,162,2014-04-15T15:29:00Z,2014-04-15T17:04:00Z,0.5089546655525523,-0.2043885783203581,0.7133432438729104,HIGH,True,"Correlation changed by 0.71, classified as HIGH severity",The relationship between ec2_net and elb_req reversed during this period: it changed from tending to move together to tending to move in opposite directions.
aws_60_30,1,ec2_cpu <-> ec2_net,59,2014-04-16T03:59:00Z,2014-04-16T08:59:00Z,0.3565374220480336,-0.6155289828195685,0.9720664048676021,HIGH,True,"Correlation changed by 0.97, classified as HIGH severity",The relationship between ec2_cpu and ec2_net reversed during this period: it changed from tending to move together to tending to move in opposite directions.
aws_60_30,2,ec2_cpu <-> ec2_net,15,2014-04-11T13:44:00Z,2014-04-11T18:39:00Z,-0.05792154155429582,0.5567799871661686,0.6147015287204645,MEDIUM,True,"Correlation changed by 0.61, classified as MEDIUM severity",The relationship between ec2_cpu and ec2_net reversed during this period: it changed from tending to move in opposite directions to tending to move together.
aws_60_30,3,ec2_cpu <-> ec2_net,18,2014-04-11T21:14:00Z,2014-04-12T02:09:00Z,0.5235423586720734,-0.08251704789997193,0.6060594065720454,MEDIUM,True,"Correlation changed by 0.61, classified as MEDIUM severity",The relationship between ec2_cpu and ec2_net reversed during this period: it changed from tending to move together to tending to move in opposite directions.
aws_60_30,4,ec2_cpu <-> ec2_net,60,2014-04-16T06:34:00Z,2014-04-16T11:34:00Z,-0.6155289828195685,-0.09953312317800933,0.5159958596415591,MEDIUM,False,"Correlation changed by 0.52, classified as MEDIUM severity",The relationship between ec2_cpu and ec2_net became weaker during this period.
aws_60_30,5,ec2_cpu <-> elb_req,124,2014-04-22T22:54:00Z,2014-04-23T03:49:00Z,-0.2567501636389065,0.25469192981976624,0.5114420934586728,MEDIUM,True,"Correlation changed by 0.51, classified as MEDIUM severity",The relationship between ec2_cpu and elb_req reversed during this period: it changed from tending to move in opposite directions to tending to move together.
complex_20_10,1,s1 <-> s3,31,310,329,0.8752135555416394,-0.9006774229283946,1.7758909784700339,HIGH,True,"Correlation changed by 1.78, classified as HIGH severity",The relationship between s1 and s3 reversed during this period: it changed from tending to move together to tending to move in opposite directions.
complex_20_10,2,s2 <-> s3,31,310,329,0.8752135555416394,-0.9006774229283946,1.7758909784700339,HIGH,True,"Correlation changed by 1.78, classified as HIGH severity",The relationship between s2 and s3 reversed during this period: it changed from tending to move together to tending to move in opposite directions.
