run,lower_severity_pair,lower_severity,lower_severity_delta,higher_severity_pair,higher_severity,higher_severity_delta
aws_20_10,ec2_net <-> elb_req,LOW,0.46583773829541847,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_net <-> elb_req,LOW,0.43729289002952143,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_net <-> elb_req,LOW,0.4628574009419595,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_cpu <-> ec2_net,LOW,0.4579449540297986,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_cpu <-> ec2_net,LOW,0.4802819954504937,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_cpu <-> ec2_net,LOW,0.45100126277428054,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_cpu <-> ec2_net,LOW,0.4660295691666626,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_net <-> elb_req,LOW,0.4555325828258958,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_cpu <-> elb_req,LOW,0.4843486358888359,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_cpu <-> elb_req,LOW,0.4501645076349276,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_net <-> elb_req,LOW,0.4382548862652371,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_net <-> elb_req,LOW,0.49149690719749706,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_cpu <-> ec2_net,LOW,0.48837639021600426,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
aws_20_10,ec2_cpu <-> ec2_net,LOW,0.4672241323953712,ec2_cpu <-> ec2_net,MEDIUM,0.4348196730606662
