run,pair,alert_count,first_window,last_window,start_time,end_time,highest_current_severity,max_abs_delta,contains_reversal
aws_20_10,ec2_net <-> elb_req,2,1,2,2014-04-10T00:54:00Z,2014-04-10T03:24:00Z,LOW,0.46583773829541847,True
aws_20_10,ec2_net <-> elb_req,1,11,11,2014-04-10T09:19:00Z,2014-04-10T10:54:00Z,LOW,0.32307187164581147,False
aws_20_10,ec2_net <-> elb_req,1,13,13,2014-04-10T10:59:00Z,2014-04-10T12:39:00Z,LOW,0.43729289002952143,True
aws_20_10,ec2_net <-> elb_req,2,17,18,2014-04-10T14:24:00Z,2014-04-10T16:49:00Z,LOW,0.3118839903945656,True
aws_20_10,ec2_net <-> elb_req,1,34,34,2014-04-11T04:34:00Z,2014-04-11T06:09:00Z,LOW,0.4628574009419595,True
aws_20_10,ec2_net <-> elb_req,1,42,42,2014-04-11T11:14:00Z,2014-04-11T12:49:00Z,LOW,0.3673730492468486,True
aws_20_10,ec2_net <-> elb_req,2,49,50,2014-04-11T17:04:00Z,2014-04-11T19:29:00Z,MEDIUM,0.5935190861258934,True
aws_20_10,ec2_net <-> elb_req,1,53,53,2014-04-11T20:24:00Z,2014-04-11T21:59:00Z,LOW,0.37905961498054397,False
aws_20_10,ec2_net <-> elb_req,1,66,66,2014-04-12T07:14:00Z,2014-04-12T08:49:00Z,MEDIUM,0.5757818305166001,True
aws_20_10,ec2_net <-> elb_req,2,76,77,2014-04-12T15:34:00Z,2014-04-12T17:59:00Z,LOW,0.42758838381083625,True
aws_20_10,ec2_net <-> elb_req,1,81,81,2014-04-12T19:44:00Z,2014-04-12T21:19:00Z,LOW,0.40684759687605665,True
aws_20_10,ec2_net <-> elb_req,2,85,86,2014-04-12T23:04:00Z,2014-04-13T01:29:00Z,MEDIUM,0.509071643433047,True
aws_20_10,ec2_net <-> elb_req,3,93,95,2014-04-13T05:49:00Z,2014-04-13T09:04:00Z,LOW,0.4555325828258958,True
aws_20_10,ec2_net <-> elb_req,1,97,97,2014-04-13T09:09:00Z,2014-04-13T10:44:00Z,LOW,0.374280091263654,True
